Hồ_Quý_Ly,Np,B-PER
(,F,O
1400,M,O
-,F,O
1401,M,O
),F,O
tự,P,B-RHN
là,V,I-RHN
Thánh_Nguyên,Np,I-RHN
",",F,O
cháu,N,B-ANP
16,M,I-ANP
đời,N,I-ANP
của,E,I-ANP
Trạng,Np,I-ANP
nguyên,V,I-ANP
Hồ_Hưng_Dật,Np,I-ANP
",",F,O
vốn,N,O
gốc,N,O
thuộc,V,O
tộc,N,O
Việt,Np,O
ở,E,B-LOC
Chiết_Giang,Np,I-LOC
",",F,I-LOC
phương,N,I-LOC
nam,N,I-LOC
Trung_Quốc,Np,I-LOC
",",F,I-LOC
đời,N,I-LOC
Hậu_Hán,Np,I-LOC
(,F,O
thời,N,O
Ngũ_Qúy,Np,O
),F,O
sang,V,O
làm,V,O
Thái,Np,O
thú,N,O
Diễn_Châu,Np,O
",",F,O
sau,E,O
định_cư,V,O
ở,E,O
hương,N,O
Bào_Đột,Np,O
(,F,O
Nghĩa_Đàn,Np,O
",",F,O
Nghệ_An,Np,O
),F,O
.,F,O
Nhà_Hồ,Np,B-DNT
cho,V,O
đo_đạc,V,O
lại,R,O
ruộng_đất,N,O
",",F,O
cải_cách,V,O
chế_độ,N,O
thi_cử,V,O
",",F,O
mở_mang,V,O
việc,N,O
giáo_dục,V,O
",",F,O
tăng_cường,V,O
quân_đội,N,O
thường_trực,N,O
",",F,O
xây_dựng,V,O
các,L,O
tuyến,N,O
phòng_thủ,V,O
",",F,O
lập,V,O
xưởng,N,O
đúc,V,O
binh_khí,N,O
kỹ_thuật,N,O
để,E,O
chống,V,O
giặc,N,O
phương,N,O
Bắc,Np,O
.,F,
Các,L,O
cải_cách,N,O
của,E,O
Hồ_Quý_Ly,Np,B-PER
có,V,B-RHA
tính_chất,N,I-RHA
toàn_diện,A,I-RHA
",",F,I-RHA
có,V,I-RHA
những,L,I-RHA
cải_cách,N,I-RHA
đi,V,I-RHA
trước,E,I-RHA
thời_đại,N,I-RHA
",",F,O
giá_trị,N,O
thực_tiễn,N,O
của,E,O
nó,P,O
đến,E,O
nay,P,O
vẫn,R,O
còn,V,O
hấp_dẫn,V,O
",",F,O
nhiều,A,O
nhà,N,O
kinh_tế,N,O
nước_ngoài,N,O
đã,R,O
ca_ngợi,V,O
Hồ_Quý_Ly,Np,B-PER
là,V,B-ABO
một,M,I-ABO
nhà,N,I-ABO
cải_cách,V,I-ABO
kinh_tế,N,I-ABO
lớn,A,I-ABO
.,F,O
Nhưng,C,O
Hồ_Quý_Ly,Np,B-PER
mắc,V,O
tội,N,O
giết,V,O
vua,N,B-ANP
Thiếu_Đế,Np,I-ANP
cùng,A,O
tôn,N,O
tộc,N,O
và,C,O
quan,N,O
lại,R,O
nhà,N,B-DNT
Trần,Np,I-DNT
",",F,O
kể_cả,N,O
tướng,N,B-ANP
Trần_Khát_Chân,Np,I-ANP
",",F,O
gồm,V,O
hơn,A,O
370,M,O
người,N,O
để,E,O
cướp,V,O
ngôi,Nc,O
nhà,N,B-DNT
Trần,Np,I-DNT
.,F,O
Do_vậy,N,O
bị,V,O
nhân_dân,N,O
oán_hận,V,O
.,F,O
Khi,N,O
quân,N,O
Minh,Np,O
sang,V,O
xâm_lược,V,O
nước,N,O
ta,P,O
",",F,O
Hồ_Qúy_Ly,Np,O
đã,R,O
không,R,O
tập_hợp,V,O
được,R,O
lực_lượng,N,O
toàn,R,O
dân,N,O
đánh,V,O
giặc,N,O
",",F,O
bố,N,B-PER
con,Nc,I-PER
Hồ_Qúy_Ly,Np,I-PER
bị,V,O
quân,N,O
Minh,Np,O
bắt,V,O
đem,V,O
về,E,O
Trung_Quốc,Np,O
.,F,O
